year,content
485 BC:,"485 BC: Scythed chariot by Ajatashatru in Magadha, India.[238][239]
Links: Ajatashatru(Ajatashatru) | Magadha (Mahajanapada)(Magadha) | India(India) | ([238]) | ([239])"
5th century BC:,"5th century BC: Cast iron in Ancient China: Confirmed by archaeological evidence, the earliest cast iron is developed in China by the early 5th century BC during the Zhou dynasty (1122–256 BC), the oldest specimens found in a tomb of Luhe County in Jiangsu province.[240][241][242]
Links: Cast iron(Cast iron) | History of China(Ancient China) | Zhou dynasty(Zhou dynasty) | Jiangsu(Jiangsu) | ([240]) | ([241]) | ([242])"
480 BC:,"480 BC: Spiral stairs (Temple A) in Selinunte, Sicily (see also List of ancient spiral stairs)[243][244]
Links: Spiral stairs(Spiral stairs) | Selinunte(Selinunte) | Sicily(Sicily) | List of ancient spiral stairs(List of ancient spiral stairs) | ([243]) | ([244])"
By 407 BC:,"By 407 BC: Early descriptions of what may be a Wheelbarrow in Greece.[245] First actual depiction of one (tomb mural) shows up in China in 118 AD.[246]
Links: Wheelbarrow(Wheelbarrow) | ([245]) | China(China) | ([246])"
By 400 BC:,"By 400 BC: Camera obscura described by Mo-tzu (or Mozi) in China.[247]
Links: Camera obscura(Camera obscura) | Mozi(Mozi) | ([247])"
4th century BC:,"4th century BC: Traction trebuchet in Ancient China.[249]
Links: Trebuchet(Traction trebuchet) | History of China(Ancient China) | ([249])"
4th century BC:,"4th century BC: Gears in Ancient China
Links: Gear(Gears) | History of China(Ancient China)"
4th century BC:,"4th century BC: Reed pens, utilising a split nib, were used to write with ink on Papyrus in Egypt.[249]
Links: Reed pen(Reed pens) | Papyrus(Papyrus) | ([249])"
4th century BC:,"4th century BC: Nailed Horseshoe, with 4 bronze shoes found in an Etruscan tomb.[250]
Links: Horseshoe(Horseshoe) | Etruscan civilization(Etruscan tomb) | ([250])"
375 BC – 350 BC:,"375 BC – 350 BC: Animal-driven rotary mill in Carthage.[251][252]
Links: Horse mill(Animal-driven rotary mill) | ([251]) | ([252])"
By the late 4th century BC:,"By the late 4th century BC: Corporations in either the Maurya Empire of India[253] or in Ancient Rome (Collegium).
Links: Corporation(Corporations) | Maurya Empire(Maurya Empire) | ([253]) | Collegium (ancient Rome)(Collegium)"
Late 4th century BC:,"Late 4th century BC: Cheque in the Maurya Empire of India.[254]
Links: Cheque(Cheque) | Maurya Empire(Maurya Empire) | ([254])"
Late 4th century BC:,"Late 4th century BC: Potassium nitrate manufacturing and military use in the Seleucid Empire.[255][verification needed]
Links: Potassium nitrate(Potassium nitrate) | Seleucid Empire(Seleucid Empire) | ([255]) | Wikipedia:Verifiability(verification needed)"
Late 4th century BC:,"Late 4th century BC: Formal systems by Pāṇini in India, possibly during the reign of Chandragupta Maurya.[256]
Links: Formal system(Formal systems) | Pāṇini(Pāṇini) | Chandragupta Maurya(Chandragupta Maurya) | ([256])"
4th to 3rd century BC:,"4th to 3rd century BC: Zinc production in North-Western India during the Maurya Empire.[257] The earliest known zinc mines and smelting sites are from Zawar, near Udaipur, in Rajasthan.[258][259]
Links: Zinc mining(Zinc production) | India(India) | Maurya Empire(Maurya Empire) | ([257]) | Udaipur(Udaipur) | Rajasthan(Rajasthan) | ([258]) | ([259])"
3rd century BC:,"3rd century BC: Analog computers in the Hellenistic world (see e.g. the Antikythera mechanism), possibly in Rhodes.[260]
Links: Analog computer(Analog computers) | Antikythera mechanism(Antikythera mechanism) | Rhodes(Rhodes) | ([260])"
By at least the 3rd century BC:,"By at least the 3rd century BC: Archimedes' screw, one of the earliest hydraulic machines, was first used in the Nile river for irrigation purposes in Ancient Egypt[261]
Links: Archimedes' screw(Archimedes' screw) | Hydraulic(hydraulic) | Ancient Egypt(Ancient Egypt) | ([261])"
Early 3rd century BC:,"Early 3rd century BC: Canal lock in Canal of the Pharaohs under Ptolemy II (283–246 BC) in Hellenistic Egypt[262][263][264]
Links: Lock (water transport)(Canal lock) | Canal of the Pharaohs(Canal of the Pharaohs) | Ptolemy II(Ptolemy II) | Hellenistic Egypt(Hellenistic Egypt) | ([262]) | ([263]) | ([264])"
3rd century BC:,"3rd century BC: Cam during the Hellenistic period, used in water-driven automata.[265]
Links: Cam (mechanism)(Cam) | Hellenistic period(Hellenistic period) | Automata(automata) | ([265])"
By the 3rd century BC:,"By the 3rd century BC: Water wheel. The origin is unclear: Indian Pali texts dating to the 4th century BCE refer to the cakkavattaka, which later commentaries describe as arahatta-ghati-yanta (machine with wheel-pots attached). Helaine Selin suggests that the device existed in Persia before 350 BC.[266] The clearest description of the water wheel and Liquid-driven escapement is provided by Philo of Byzantium (c. 280 – 220 BC) in the Hellenistic kingdoms.[267]
Links: Water wheel(Water wheel) | ([266]) | Escapement(Liquid-driven escapement) | Philo of Byzantium(Philo of Byzantium) | ([267])"
3rd century BC:,"3rd century BC: Gimbal described by Philo of Byzantium[268]
Links: Gimbal(Gimbal) | ([268])"
Late 3rd century BC:,"Late 3rd century BC: Dry dock under Ptolemy IV (221–205 BC) in Hellenistic Egypt[269]
Links: Dry dock(Dry dock) | Ptolemy IV(Ptolemy IV) | Hellenistic Egypt(Hellenistic Egypt) | ([269])"
3rd century BC – 2nd century BC:,"3rd century BC – 2nd century BC: Blast furnace in Ancient China: The earliest discovered blast furnaces in China date to the 3rd and 2nd centuries BC, although most sites are from the later Han dynasty.[240][270]
Links: Blast furnace(Blast furnace) | History of China(Ancient China) | Han dynasty(Han dynasty) | ([240]) | ([270])"
2nd century BC:,"2nd century BC: Paper in Han dynasty China[g]
Links: Paper(Paper) | Han dynasty(Han dynasty) | China(China) | ([g])"
206 BC:,"206 BC: Compass in Han dynasty China[273]
Links: Compass(Compass) | Han dynasty(Han dynasty) | China(China) | ([273])"
Early 2nd century BC:,"Early 2nd century BC: Astrolabe invented by Apollonius of Perga.
Links: Astrolabe(Astrolabe) | Apollonius of Perga(Apollonius of Perga)"
1st century BC:,"1st century BC: Segmental arch bridge (e.g. Pont-Saint-Martin or Ponte San Lorenzo) in Italy, Roman Republic[274][275]
Links: Arch bridge(arch bridge) | Pont-Saint-Martin (bridge)(Pont-Saint-Martin) | Ponte San Lorenzo(Ponte San Lorenzo) | Italy(Italy) | Roman Republic(Roman Republic) | ([274]) | ([275])"
1st century BC:,"1st century BC: News bulletin during the reign of Julius Caesar.[276] A paper form, i.e. the earliest newspaper, later appeared during the late Han dynasty in the form of the Dibao.[277][278][279]
Links: ([276]) | Newspaper(newspaper) | Dibao(Dibao) | ([277]) | ([278]) | ([279])"
1st century BC:,"1st century BC: Arch dam (Glanum Dam) in Gallia Narbonensis, Roman Republic (see also List of Roman dams)[280][281][282][283][284]
Links: Arch dam(Arch dam) | Glanum Dam(Glanum Dam) | Gallia Narbonensis(Gallia Narbonensis) | Roman Republic(Roman Republic) | List of Roman dams(List of Roman dams) | ([280]) | ([281]) | ([282]) | ([283]) | ([284])"
Before 40 BC:,"Before 40 BC: Trip hammer in China[285]
Links: Trip hammer(Trip hammer) | China(China) | ([285])"
38 BC:,"38 BC: An empty shell Glyph for zero, is found on a Maya numerals Stela, from Chiapa de Corzo, Chiapas. Independently invented by Claudius Ptolemy, in the second century CE Egypt, and appearing in the calculations of the Almagest.
Links: 0(zero) | Maya numerals(Maya numerals) | Chiapas(Chiapas) | Ptolemy(Claudius Ptolemy) | Almagest(Almagest)"
37 BC – 14 BC:,"37 BC – 14 BC: Glass blowing developed in Jerusalem.[286][287][288]
Links: Glass blowing(Glass blowing) | ([286]) | ([287]) | ([288])"
Before 25 BC:,"Before 25 BC: Reverse overshot water wheel by Roman engineers in Rio Tinto, Spain[289]
Links: Reverse overshot water wheel(Reverse overshot water wheel) | Roman engineering(Roman engineers) | Rio Tinto (river)(Rio Tinto) | ([289])"
25 BC:,"25 BC: Noodle in Lajia in China[290]
Links: Noodle(Noodle) | Lajia(Lajia) | China(China) | ([290])"
1st century AD:,"1st century AD: The aeolipile, a simple steam turbine is recorded by Hero of Alexandria.[291]
Links: Aeolipile(aeolipile) | Steam turbine(steam turbine) | ([291])"
1st century AD:,"1st century AD: The first use of respiratory protective equipment is documented by Pliny the Elder (c. 23 AD–79) using animal bladder skins to protect workers in Roman mines from red lead oxide dust.[292]
Links: Respiratory protective equipment(respiratory protective equipment) | Pliny the Elder(Pliny the Elder) | ([292])"
1st century AD:,"1st century AD: Oldest surviving wine.[293]
Links: Wine(wine) | ([293])"
1st century AD:,"1st century AD: Vending machines invented by Hero of Alexandria.
Links: Vending machine(Vending machines) | Hero of Alexandria(Hero of Alexandria)"
By the 1st century AD:,"By the 1st century AD: The double-entry bookkeeping system in the Roman Empire.[294]
Links: Double-entry bookkeeping(double-entry bookkeeping system) | ([294])"
132:,"132: Seismometer and pendulum in Han dynasty China, built by Zhang Heng. It is a large metal urn-shaped instrument which employed either a suspended pendulum or inverted pendulum acting on inertia, like the ground tremors from earthquakes, to dislodge a metal ball by a lever trip device.[295][296]
Links: Seismometer(Seismometer) | Pendulum(pendulum) | Han dynasty(Han dynasty) | China(China) | Zhang Heng(Zhang Heng) | Inverted pendulum(inverted pendulum) | Earthquake(earthquakes) | ([295]) | ([296])"
2nd century:,"2nd century: Carding in India.[297]
Links: Carding(Carding) | ([297])"
By at least the 3rd century:,"By at least the 3rd century: Crystallized sugar in India.[301]
Links: ([301])"
Early 3rd century:,"Early 3rd century: Woodblock printing is invented in Han dynasty China at sometime before 220 AD. This made China become the world's first print culture.[302]
Links: Woodblock printing(Woodblock printing) | Han dynasty(Han dynasty) | China(China) | Print culture(print culture) | ([302])"
Late 3rd century – Early 4th century:,"Late 3rd century – Early 4th century: Water turbine in the Roman Empire in modern-day Tunisia.[303][304][305]
Links: Water turbine(Water turbine) | Roman Empire(Roman Empire) | Tunisia(Tunisia) | ([303]) | ([304]) | ([305])"
280 – 550:,"280 – 550: Chaturanga, a precursor of Chess was invented in India during the Gupta Empire.[306][307][308]
Links: Chaturanga(Chaturanga) | Chess(Chess) | Gupta Empire(Gupta Empire) | ([306]) | ([307]) | ([308])"
4th century:,"4th century: Roman Dichroic glass, which displays one of two different colors depending on lighting conditions.
Links: Dichroic glass(Dichroic glass)"
4th century:,"4th century: Simple suspension bridge, independently invented in Pre-Columbian South America,  and the Hindu Kush range, of present-day Afghanistan and Pakistan. With Han dynasty travelers noting bridges being constructed from 3 or more vines or 3 ropes.[309] Later bridges constructed utilizing cables of iron chains appeared in Tibet.[310][311]
Links: Simple suspension bridge(Simple suspension bridge) | Hindu Kush(Hindu Kush) | Afghanistan(Afghanistan) | Pakistan(Pakistan) | ([309]) | ([310]) | ([311])"
4th century:,"4th century: Fishing reel in Ancient China: In literary records, the earliest evidence of the fishing reel comes from a 4th-century AD[312] work entitled Lives of Famous Immortals.[313]
Links: Fishing reel(Fishing reel) | History of China(Ancient China) | ([312]) | ([313])"
347:,"347: Oil Wells and Borehole drilling in China. Such wells could reach depths of up to 240 m (790 ft).[314]
Links: Oil Well(Oil Wells) | Borehole(Borehole) | China(China) | ([314])"
400:,"400: The construction of the Iron pillar of Delhi in Mathura by the Gupta Empire shows the development of rust-resistant ferrous metallurgy in Ancient India,[316][317] although original texts do not survive to detail the specific processes invented in this period.
Links: Iron pillar of Delhi(Iron pillar of Delhi) | Mathura(Mathura) | Gupta Empire(Gupta Empire) | ([316]) | ([317])"
5th century:,"5th century: The horse collar as a fully developed collar harness is developed in Northern and Southern dynasties China during the 5th century AD.[318] The earliest depiction of it is a Dunhuang cave mural from the Chinese Northern Wei dynasty, the painting dated to 477–499.[319]
Links: Horse collar(horse collar) | Northern and Southern dynasties(Northern and Southern dynasties) | China(China) | ([318]) | Dunhuang(Dunhuang) | Mural(mural) | Northern Wei(Northern Wei) | Painting(painting) | ([319])"
5th century – 6th century:,"5th century – 6th century: Pointed arch bridge (Karamagara Bridge) in Cappadocia, Eastern Roman Empire[320][321]
Links: Pointed arch bridge(Pointed arch bridge) | Karamagara Bridge(Karamagara Bridge) | Cappadocia(Cappadocia) | Eastern Roman Empire(Eastern Roman Empire) | ([320]) | ([321])"
By the 6th century:,"By the 6th century: Incense clock in China.[322][323]
Links: Incense clock(Incense clock) | ([322]) | ([323])"
After 500:,"After 500: Charkha (spinning wheel/cotton gin) invented in India (probably during the Vakataka dynasty of Maharashtra, India), between 500 and 1000 A.D.[324]
Links: Charkha (spinning wheel)(Charkha) | Vakataka dynasty(Vakataka dynasty) | Maharashtra, India(Maharashtra, India) | ([324])"
563:,"563: Pendentive dome (Hagia Sophia) in Constantinople, Eastern Roman Empire[325]
Links: Pendentive(Pendentive) | Dome(dome) | Hagia Sophia(Hagia Sophia) | Constantinople(Constantinople) | Eastern Roman Empire(Eastern Roman Empire) | ([325])"
577:,"577: Sulfur matches exist in China.
Links: Match(Sulfur matches) | China(China)"
589:,"589: Toilet paper in Sui dynasty China, first mentioned by the official Yan Zhitui (531–591), with full evidence of continual use in subsequent dynasties.[326][327]
Links: Toilet paper(Toilet paper) | Sui dynasty(Sui dynasty) | China(China) | Yan Zhitui(Yan Zhitui) | ([326]) | ([327])"
619:,"619: Toothbrush in China during the Tang dynasty[328]
Links: Toothbrush(Toothbrush) | China(China) | Tang dynasty(Tang dynasty) | ([328])"
672:,"672: Greek fire in Constantinople, Byzantine Empire: Greek fire, an incendiary weapon likely based on petroleum or naphtha, is invented by Kallinikos, a Lebanese Greek refugee from Baalbek, as described by Theophanes.[329] However, the historicity and exact chronology of this account is dubious,[330] and it could be that Kallinikos merely introduced an improved version of an established weapon.[331]
Links: Greek fire(Greek fire) | Constantinople(Constantinople) | Byzantine Empire(Byzantine Empire) | Incendiary device(incendiary weapon) | Petroleum(petroleum) | Naphtha(naphtha) | Baalbek(Baalbek) | Theophanes the Confessor(Theophanes) | ([329]) | ([330]) | ([331])"
7th century:,"7th century: Banknote in Tang dynasty China: The banknote is first developed in China during the Tang and Song dynasties, starting in the 7th century. Its roots are in merchant receipts of deposit during the Tang dynasty (618–907), as merchants and wholesalers desire to avoid the heavy bulk of copper coinage in large commercial transactions.[332][333][334]
Links: Banknote(Banknote) | Tang dynasty(Tang dynasty) | China(China) | Economy of the Song dynasty(first developed in China) | Tang dynasty(Tang) | Song dynasty(Song) | Receipt(receipts) | Four occupations(merchants) | Wholesaler(wholesalers) | Ancient Chinese coinage(copper coinage) | ([332]) | ([333]) | ([334])"
7th century:,"7th century: Porcelain in Tang dynasty China: True porcelain is manufactured in northern China from roughly the beginning of the Tang dynasty in the 7th century, while true porcelain was not manufactured in southern China until about 300 years later, during the early 10th century.[335]
Links: Porcelain(Porcelain) | Tang dynasty(Tang dynasty) | China(China) | ([335])"
9th century:,"9th century: Gunpowder in Tang dynasty China: Gunpowder is, according to prevailing academic consensus, discovered in the 9th century by Chinese alchemists searching for an elixir of immortality.[336] Evidence of gunpowder's first use in China comes from the Five Dynasties and Ten Kingdoms period (618–907).[337] The earliest known recorded recipes for gunpowder are written by Zeng Gongliang, Ding Du, and Yang Weide in the Wujing Zongyao, a military manuscript compiled in 1044 during the Song dynasty (960–1279).[338][339][340]
Links: Gunpowder(Gunpowder) | Tang dynasty(Tang dynasty) | China(China) | Chinese alchemy(Chinese alchemists) | Elixir of life(elixir of immortality) | ([336]) | Five Dynasties and Ten Kingdoms period(Five Dynasties and Ten Kingdoms period) | ([337]) | Wujing Zongyao(Wujing Zongyao) | Song dynasty(Song dynasty) | ([338]) | ([339]) | ([340])"
9th century:,"9th century: Playing card in Tang dynasty China[341][342][343][344][345]
Links: Playing card(Playing card) | Tang dynasty(Tang dynasty) | China(China) | ([341]) | ([342]) | ([343]) | ([344]) | ([345])"
10th century:,"10th century: Fire lance in Song dynasty China, developed in the 10th century with a tube of first bamboo and later on metal that shot a weak gunpowder blast of flame and shrapnel, its earliest depiction is a painting found at Dunhuang.[346] Fire lance is the earliest firearm in the world and one of the earliest gunpowder weapons.[347][348]
Links: Fire lance(Fire lance) | Song dynasty(Song dynasty) | China(China) | Gunpowder(gunpowder) | Dunhuang(Dunhuang) | ([346]) | Firearm(firearm) | ([347]) | ([348])"
10th century:,"10th century: Fireworks in Song dynasty China: Fireworks first appear in China during the Song dynasty (960–1279), in the early age of gunpowder. Fireworks could be purchased from market vendors; these were made of sticks of bamboo packed with gunpowder.[349]
Links: Fireworks(Fireworks) | Song dynasty(Song dynasty) | China(China) | Gunpowder(gunpowder) | Bamboo(bamboo) | ([349])"
974:,"974: Fountain pen: invented at the request of al-Mu'izz li-Din Allah in Arab Egypt.[350]
Links: Fountain pen(Fountain pen) | Al-Mu'izz li-Din Allah(al-Mu'izz li-Din Allah) | Egypt in the Middle Ages(Arab Egypt) | ([350])"
11th century:,"11th century: Early versions of the Bessemer process are developed in China.
Links: Bessemer process(Bessemer process)"
11th century:,"11th century: Endless power-transmitting chain drive by Su Song for the development an astronomical clock (the Cosmic Engine)[351]
Links: Su Song(Endless power-transmitting chain drive) | Su Song(Su Song) | Su Song(Cosmic Engine) | ([351])"
11th century:,"11th century: Calico was developed in Calicut, India.[352]
Links: Calico(Calico) | Kozhikode(Calicut) | ([352])"
1088:,"1088: Movable type in Song dynasty China: The first record of a movable type system is in the Dream Pool Essays, which attributes the invention of the movable type to Bi Sheng.[353][354][355][356]
Links: Movable type(Movable type) | Song dynasty(Song dynasty) | China(China) | Dream Pool Essays(Dream Pool Essays) | Bi Sheng(Bi Sheng) | ([353]) | ([354]) | ([355]) | ([356])"
13th century:,"13th century: Rocket for military and recreational uses date back to at least 13th-century China.[357]
Links: Rocket(Rocket) | ([357])"
13th century:,"13th century: The earliest form of mechanical escapement, the verge escapement in Europe.[358]
Links: Mechanical escapement(mechanical escapement) | Verge escapement(verge escapement) | Europe(Europe) | ([358])"
13th century:,"13th century: Buttons (combined with buttonholes) as a functional fastening for closing clothes appear first in Germany.[359]
Links: Button(Buttons) | Germany(Germany) | ([359])"
13th century:,"13th century: Explosive bomb in Jin dynasty Manchuria: Explosive bombs are used in 1221 by the Jin dynasty against a Song dynasty city.[360] The first accounts of bombs made of cast iron shells packed with explosive gunpowder are documented in the 13th century in China and are called ""thunder-crash bombs"",[361] coined during a Jin dynasty naval battle in 1231.[362]
Links: Bomb(Explosive bomb) | Jin dynasty (1115–1234)(Jin dynasty) | Jin dynasty (1115–1234)(Jin dynasty) | Song dynasty(Song dynasty) | ([360]) | ([361]) | Jin dynasty (1115–1234)(Jin dynasty) | ([362])"
13th century:,"13th century: Hand cannon in Yuan dynasty China: The earliest hand cannon dates to the 13th century based on archaeological evidence from a Heilongjiang excavation. There is also written evidence in the Yuanshi (1370) on Li Tang, an ethnic Jurchen commander under the Yuan dynasty who in 1288 suppresses the rebellion of the Christian prince Nayan with his ""gun-soldiers"" or chongzu, this being the earliest known event where this phrase is used.[363]
Links: Hand cannon(Hand cannon) | Yuan dynasty(Yuan dynasty) | Heilongjiang(Heilongjiang) | Jurchens(ethnic Jurchen) | ([363])"
13th century:,"13th century: Earliest documented snow goggles, a type of sunglasses, made of flattened walrus or caribou ivory are used by the Inuit peoples in the arctic regions of North America.[364][365] In China, the first sunglasses consisting of flat panes of smoky quartz are documented.[366][367]
Links: Snow goggles(snow goggles) | ([364]) | ([365]) | Smoky quartz(smoky quartz) | ([366]) | ([367])"
13th century - 14th century:,"13th century - 14th century: Worm gear cotton gin in India.[368]
Links: Cotton gin(Worm gear cotton gin) | ([368])"
1277:,"1277: Land mine in Song dynasty China: Textual evidence suggests that the first use of a land mine in history is by a Song dynasty brigadier general known as Lou Qianxia, who uses an 'enormous bomb' (huo pao) to kill Mongol soldiers invading Guangxi in 1277.[369]
Links: Land mine(Land mine) | Song dynasty(Song dynasty) | China(China) | History of the Song dynasty(Mongol soldiers) | Guangxi(Guangxi) | ([369])"
1286:,"1286: Eyeglasses in Italy[370]
Links: Eyeglasses(Eyeglasses) | Italy(Italy) | ([370])"
Early 14th century – Mid 14th century:,"Early 14th century – Mid 14th century: Multistage rocket in Ming dynasty China described in Huolongjing by Jiao Yu.
Links: Multistage rocket(Multistage rocket) | Ming dynasty(Ming dynasty) | China(China) | Huolongjing(Huolongjing) | Jiao Yu(Jiao Yu)"
By at least 1326:,"By at least 1326: Cannon in Ming dynasty China[371]
Links: Cannon(Cannon) | Ming dynasty(Ming dynasty) | China(China) | ([371])"
14th century:,"14th century: Painting Canvas was first used in Italy.[372]
Links: Canvas(Canvas) | Italy(Italy) | ([372])"
14th century:,"14th century: Jacob's staff described by Levi ben Gerson
Links: Jacob's staff(Jacob's staff) | Levi ben Gerson(Levi ben Gerson)"
14th century:,"14th century: Naval mine in Ming dynasty China: Mentioned in the Huolongjing military manuscript written by Jiao Yu (fl. 14th to early 15th century) and Liu Bowen (1311–1375), describing naval mines used at sea or on rivers and lakes, made of wrought iron and enclosed in an ox bladder. A later model is documented in Song Yingxing's encyclopedia written in 1637.[373]
Links: Naval mine(Naval mine) | Ming dynasty(Ming dynasty) | China(China) | Huolongjing(Huolongjing) | Jiao Yu(Jiao Yu) | Liu Bowen(Liu Bowen) | Wrought iron(wrought iron) | Song Yingxing(Song Yingxing) | ([373])"
14th century:,"14th century: Bidriware in the Bahmani Sultanate in India.[374]
Links: Bidriware(Bidriware) | Bahmani Sultanate(Bahmani Sultanate) | India(India) | ([374])"
Early 15th century:,"Early 15th century: Coil spring in Europe[376]
Links: Coil spring(Coil spring) | Europe(Europe) | ([376])"
15th century:,"15th century: Mainspring in Europe[376]
Links: Mainspring(Mainspring) | ([376])"
15th century:,"15th century: Rifle in Europe
Links: Rifle(Rifle)"
1420s:,"1420s: Brace in Flanders, Holy Roman Empire[377]
Links: Brace (tool)(Brace) | County of Flanders(Flanders) | Holy Roman Empire(Holy Roman Empire) | ([377])"
1439:,"1439: Printing press in Mainz, Germany: The printing press is invented in the Holy Roman Empire by Johannes Gutenberg before 1440, based on existing screw presses. The first confirmed record of a press appeared in a 1439 lawsuit against Gutenberg.[378]
Links: Printing press(Printing press) | Mainz, Germany(Mainz, Germany) | Holy Roman Empire(Holy Roman Empire) | Johannes Gutenberg(Johannes Gutenberg) | Screw press(screw presses) | Lawsuit(lawsuit) | ([378])"
Mid 15th century:,"Mid 15th century: The Arquebus (also spelled Harquebus) is invented, possibly in Spain.[379][380]
Links: Arquebus(Arquebus) | ([379]) | ([380])"
1480s:,"1480s: Mariner's astrolabe in Portuguese circumnavigation of Africa[381]
Links: Mariner's astrolabe(Mariner's astrolabe) | Portuguese discoveries(Portuguese circumnavigation of Africa) | ([381])"
16th century:,"16th century: Chintz or printed clothing in Golconda, India[382]
Links: Chintz(Chintz) | Woodblock printing(printed) | Qutb Shahi dynasty(Golconda) | ([382])"
16th century:,"16th century:  Hookah by Irfan Shaikh, at the court of the Mughal emperor Akbar I (1542–1605).
Links: Hookah(Hookah) | Akbar(Akbar)"
1560:,"1560: Floating Dry Dock in Venice, Venetian Republic[385]
Links: Dry dock(Floating Dry Dock) | Venice(Venice) | Venetian Republic(Venetian Republic) | ([385])"
1569:,"1569: Mercator Projection map created by Gerardus Mercator
Links: Mercator Projection(Mercator Projection) | Gerardus Mercator(Gerardus Mercator)"
1589:,"1589: Stocking frame: Invented by William Lee.[386]
Links: Stocking frame(Stocking frame) | William Lee (inventor)(William Lee) | ([386])"
1594:,"1594: Backstaff: Invented by Captain John Davis.
Links: Backstaff(Backstaff) | John Davis (English explorer)(John Davis)"
By at least 1597:,"By at least 1597: Revolver: Invented by Hans Stopler.
Links: Revolver(Revolver)"
1605:,"1605: Newspaper (Relation): Johann Carolus in Strassburg (see also List of the oldest newspapers)[387][388]
Links: Newspaper(Newspaper) | Relation aller Fürnemmen und gedenckwürdigen Historien(Relation) | Johann Carolus(Johann Carolus) | Strassburg(Strassburg) | List of the oldest newspapers(List of the oldest newspapers) | ([387]) | ([388])"
1608:,"1608: Telescope: Patent applied for by Hans Lippershey. Actual inventor unknown since it seemed to already be a common item being offered by the spectacle makers in the Netherlands with Jacob Metius also applying for patent and the son of Zacharias Janssen making a claim 47 years later that his father invented it.
Links: Telescope(Telescope) | Hans Lippershey(Hans Lippershey) | Jacob Metius(Jacob Metius) | Zacharias Janssen(Zacharias Janssen)"
1620:,"1620: Compound microscopes, which combine an objective lens with an eyepiece to view a real image, first appear in Europe. Apparently derived from the telescope, actual inventor unknown, variously attributed to Zacharias Janssen (his son claiming it was invented in 1590), Cornelis Drebbel, and Galileo Galilei.[389]
Links: Optical microscope(Compound microscopes) | Objective (optics)(objective lens) | Eyepiece(eyepiece) | Real image(real image) | Zacharias Janssen(Zacharias Janssen) | Cornelis Drebbel(Cornelis Drebbel) | Galileo Galilei(Galileo Galilei) | ([389])"
1630:,"1630: Slide rule: invented by William Oughtred[390][391]
Links: Slide rule(Slide rule) | William Oughtred(William Oughtred) | ([390]) | ([391])"
1642:,"1642: Mechanical calculator. The Pascaline is built by Blaise Pascal.[392]
Links: Mechanical calculator(Mechanical calculator) | Pascaline(Pascaline) | Blaise Pascal(Blaise Pascal) | ([392])"
1643:,"1643: Barometer: invented by Evangelista Torricelli, or possibly up to three years earlier by Gasparo Berti.[393]
Links: Barometer(Barometer) | Evangelista Torricelli(Evangelista Torricelli) | Gasparo Berti(Gasparo Berti) | ([393])"
1650:,"1650: Vacuum pump: Invented by Otto von Guericke.[394]
Links: Vacuum pump(Vacuum pump) | Otto von Guericke(Otto von Guericke) | ([394])"
1656:,"1656: Pendulum clock: Invented by Christiaan Huygens. It was first conceptualized in 1637 by Galileo Galilei but he was unable to create a working model.[395]
Links: Pendulum clock(Pendulum clock) | Christiaan Huygens(Christiaan Huygens) | Galileo Galilei(Galileo Galilei) | ([395])"
1663:,"1663: Friction machine: Invented by Otto von Guericke.
Links: Electrostatic generator(Friction machine) | Otto von Guericke(Otto von Guericke)"
1668:,"1668: First functional reflecting telescope constructed by Isaac Newton.[396]
Links: Reflecting telescope(reflecting telescope) | Isaac Newton(Isaac Newton) | ([396])"
1679:,"1679: Pressure-cooker: Invented by Denis Papin.[397]
Links: Pressure-cooker(Pressure-cooker) | Denis Papin(Denis Papin) | ([397])"
1680:,"1680: Christiaan Huygens provides the first known description of a piston engine.[398]
Links: Christiaan Huygens(Christiaan Huygens) | Gunpowder engine(piston engine) | ([398])"
1698:,"1698: Thomas Savery develops a steam-powered water pump: for draining mines[399]
Links: Thomas Savery(Thomas Savery) | Thomas Savery(steam-powered water pump) | ([399])"
1709:,"1709: Bartolomeo Cristofori crafts the first piano.
Links: Bartolomeo Cristofori(Bartolomeo Cristofori) | Piano(piano)"
1709:,"1709: Daniel Gabriel Fahrenheit invents the alcohol thermometer.
Links: Daniel Gabriel Fahrenheit(Daniel Gabriel Fahrenheit) | Thermometer(thermometer)"
1712:,"1712: Thomas Newcomen builds the first commercial steam engine to pump water out of mines.[400] Newcomen's engine, unlike Thomas Savery's, uses a piston.
Links: Thomas Newcomen(Thomas Newcomen) | ([400]) | Thomas Savery(Thomas Savery)"
1730:,"1730: Thomas Godfrey and John Hadley independently develop the octant
Links: Thomas Godfrey (inventor)(Thomas Godfrey) | John Hadley(John Hadley) | Octant (instrument)(octant)"
1733:,"1733: John Kay enables one person to operate a loom with the flying shuttle[401]
Links: John Kay (flying shuttle)(John Kay) | Flying shuttle(flying shuttle) | ([401])"
1738:,"1738: Lewis Paul and John Wyatt invent the first mechanized cotton spinning machine.
Links: Lewis Paul(Lewis Paul) | John Wyatt (inventor)(John Wyatt) | Paul-Wyatt cotton mills(mechanized cotton spinning machine)"
1742:,"1742: Benjamin Franklin invents the Franklin stove.
Links: Benjamin Franklin(Benjamin Franklin) | Franklin stove(Franklin stove)"
1745:,"1745: Musschenbroek and Kleist independently develop the Leyden jar, an early form of capacitor.
Links: Pieter van Musschenbroek(Musschenbroek) | Ewald Georg von Kleist(Kleist) | Leyden jar(Leyden jar) | Capacitor(capacitor)"
